Variável,Valor
"O[7,1]",0.0
"O[7,2]",0.0
"O[7,3]",0.0
"O[7,4]",0.0
"O[7,5]",0.0
"O[7,6]",0.0
"O[7,7]",0.0
"O[7,8]",0.0
"O[7,9]",0.0
"O[8,0]",137.90834962387834
"O[8,1]",167.94536862089834
"O[8,2]",113.59294284678299
"O[8,3]",177.7522295755726
"O[8,4]",199.67550199184615
"O[8,5]",176.1459616406949
"O[8,6]",119.51811480268866
"O[8,7]",0.0
"O[8,8]",52.96495547086492
"O[8,9]",166.48174011300614
"O[9,0]",0.0
"O[9,1]",0.0
"O[9,2]",0.0
"O[9,3]",0.0
"O[9,4]",0.0
"O[9,5]",0.0
"O[9,6]",0.0
"O[9,7]",0.0
"O[9,8]",0.0
"O[9,9]",0.0
"Oc[0,0]",0.0
"Oc[0,1]",0.0
"Oc[0,2]",0.0
"Oc[0,3]",0.0
"Oc[0,4]",0.0
"Oc[0,5]",0.0
"Oc[0,6]",0.0
"Oc[0,7]",0.0
"Oc[0,8]",0.0
"Oc[0,9]",0.0
"Oc[1,0]",0.0
"Oc[1,1]",0.0
"Oc[1,2]",0.0
"Oc[1,3]",0.0
"Oc[1,4]",0.0
"Oc[1,5]",0.0
"Oc[1,6]",0.0
"Oc[1,7]",0.0
"Oc[1,8]",0.0
"Oc[1,9]",0.0
"Oc[2,0]",0.0
"Oc[2,1]",0.0
"Oc[2,2]",0.0
"Oc[2,3]",0.0
"Oc[2,4]",0.0
"Oc[2,5]",0.0
"Oc[2,6]",0.0
"Oc[2,7]",0.0
"Oc[2,8]",0.0
"Oc[2,9]",0.0
"Oc[3,0]",0.0
"Oc[3,1]",0.0
"Oc[3,2]",0.0
"Oc[3,3]",0.0
"Oc[3,4]",0.0
"Oc[3,5]",0.0
"Oc[3,6]",0.0
"Oc[3,7]",0.0
"Oc[3,8]",0.0
"Oc[3,9]",0.0
"Oc[4,0]",0.0
"Oc[4,1]",0.0
"Oc[4,2]",0.0
"Oc[4,3]",0.0
"Oc[4,4]",0.0
"Oc[4,5]",0.0
"Oc[4,6]",0.0
"Oc[4,7]",0.0
"Oc[4,8]",0.0
"Oc[4,9]",0.0
"Oc[5,0]",0.0
"Oc[5,1]",0.0
"Oc[5,2]",0.0
"Oc[5,3]",0.0
"Oc[5,4]",0.0
"Oc[5,5]",0.0
"Oc[5,6]",0.0
"Oc[5,7]",0.0
"Oc[5,8]",0.0
"Oc[5,9]",0.0
"Oc[6,0]",0.0
"Oc[6,1]",0.0
"Oc[6,2]",0.0
"Oc[6,3]",0.0
"Oc[6,4]",0.0
"Oc[6,5]",0.0
"Oc[6,6]",0.0
"Oc[6,7]",0.0
"Oc[6,8]",0.0
"Oc[6,9]",0.0
"Oc[7,0]",0.0
"Oc[7,1]",0.0
"Oc[7,2]",0.0
"Oc[7,3]",0.0
"Oc[7,4]",0.0
"Oc[7,5]",0.0
"Oc[7,6]",0.0
"Oc[7,7]",0.0
"Oc[7,8]",0.0
"Oc[7,9]",0.0
"Oc[8,0]",0.0
"Oc[8,1]",0.0
"Oc[8,2]",0.0
"Oc[8,3]",251.94255345819042
"Oc[8,4]",0.0
"Oc[8,5]",0.0
"Oc[8,6]",0.0
"Oc[8,7]",0.0
"Oc[8,8]",0.0
"Oc[8,9]",0.0
